key	th	en	cn	ja	km	ko	lo	my	vi	ms	id	fil
show_detail	แสดงรายละเอียด	Show Details	显示详情	詳細を表示	បង្ហាញព័ត៌មានលម្អិត	상세 표시	ສະແດງລາຍລະອຽດ	အသေးစိတ်ပြပါ	Hiển thị chi tiết	Show Details	Show Details	Show Details
show_filter_panel	แสดงแผงตัวกรอง	Show Filter Panel	显示筛选面板	フィルターパネルを表示	បង្ហាញបន្ទះតម្រង	필터 패널 표시	ສະແດງແຜງຕົວກອງ	စစ်ထုတ်မှု panel ကိုပြပါ	Hiển thị bảng lọc	Show Filter Panel	Show Filter Panel	Show Filter Panel
show_hide_tips	แสดง/ซ่อนคำแนะนำ	Show/Hide Tips	显示/隐藏提示	ヒントを表示/非表示	បង្ហាញ/លាក់គន្លឹះ	팁 표시/숨기기	ສະແດງ/ເຊື່ອງຄຳແນະນຳ	အကြံပြုချက်များကို ပြရန်/ဝှက်ရန်	Hiển thị/Ẩn mẹo	Tunjuk/Sembunyikan Tips	Tampilkan/Sembunyikan Tips	Ipakita/Itago ang mga Tip
show_hide_usage_guide	แสดง/ซ่อน คำอธิบายการใช้งาน	Show/Hide Usage Guide	显示/隐藏使用说明	使い方ガイドを表示/非表示	បង្ហាញ/លាក់ការណែនាំប្រើប្រាស់	사용 가이드 표시/숨기기	ສະແດງ/ເຊື່ອງຄຳອະທິບາຍການໃຊ້ງານ	အသုံးပြုနည်းလမ်းညွှန်ကို ပြရန်/ဝှက်ရန်	Hiển thị/Ẩn hướng dẫn sử dụng	Tunjuk/Sembunyikan Panduan Penggunaan	Tampilkan/Sembunyikan Panduan Penggunaan	Ipakita/Itago ang Gabay sa Paggamit
show_image	แสดงรูปภาพ	Show Image	显示图片	画像を表示	បង្ហាញរូបភាព	이미지 표시	ສະແດງຮູບພາບ	ပုံကို ပြပါ	Hiển thị hình ảnh	Tunjuk Imej	Tampilkan Gambar	Ipakita ang Larawan
show_iscancel	แสดงเอกสารที่ถูกยกเลิก	Show Cancelled Documents	显示已取消文档	キャンセルされたドキュメントを表示	បង្ហាញឯកសារដែលបានបោះបង់	취소된 문서 표시	ສະແດງເອກະສານທີ່ຖືກຍົກເລີກ	ပယ်ဖျက်ထားသော စာရွက်စာတမ်းများကို ပြပါ	Hiển thị tài liệu đã hủy	Show Cancelled Documents	Show Cancelled Documents	Show Cancelled Documents
show_iscost	แสดงต้นทุนสินค้า	Show Product Cost	显示产品成本	商品コストを表示	បង្ហាញថ្លៃដើមផលិតផល	상품 원가 표시	ສະແດງຕົ້ນທຶນສິນຄ້າ	ကုန်ပစ္စည်းတန်ဖိုးပြပါ	Hiển thị giá vốn hàng hóa	Show Product Cost	Show Product Cost	Show Product Cost
show_item_sequence	แสดงลำดับรายการ	Show Item Sequence	显示项目序号	アイテム順序を表示	បង្ហាញលំដាប់ធាតុ	항목 순서 표시	ສະແດງລຳດັບລາຍການ	ပစ္စည်းအစဉ်ပြပါ	Hiển thị thứ tự mục	Show Item Sequence	Show Item Sequence	Show Item Sequence
show_items	แสดงรายการ	Show Items	显示项目	項目を表示	បង្ហាញធាតុ	항목 표시	ສະແດງລາຍການ	အကြောင်းအရာများကို ပြပါ	Hiển thị danh sách	Tunjuk Item	Tampilkan Item	Ipakita ang mga Item
show_items_range	แสดง	Show	显示	表示	បង្ហាញ	표시	ສະແດງ	ပြ	Hiển thị	Show	Show	Show
show_only_with_balance	แสดงเฉพาะสินค้าที่มียอดคงเหลือ	Show only products with balance	仅显示有余额的产品	残高のある商品のみ表示	បង្ហាញតែផលិតផលដែលមានសមតុល្យ	잔액이 있는 상품만 표시	ສະແດງສະເພາະສິນຄ້າທີ່ມີຍອດຄົງເຫຼືອ	လက်ကျန်ရှိသော ကုန်ပစ္စည်းများကိုသာ ပြပါ	Chỉ hiển thị sản phẩm còn số dư	Tunjuk hanya produk yang berbaki	Tampilkan hanya produk yang memiliki saldo	Ipakita lamang ang mga produktong may balanse
show_only_with_balance_or_all	เลือกแสดงเฉพาะสินค้าที่มียอดคงเหลือหรือแสดงทั้งหมด	Show only products with balance or show all	选择仅显示有余额的产品或显示全部	残高のある商品のみ表示、またはすべて表示	ជ្រើសរើសបង្ហាញតែផលិតផលដែលមានសមតុល្យ ឬបង្ហាញទាំងអស់	잔액이 있는 상품만 표시하거나 모두 표시	ເລືອກສະແດງສະເພາະສິນຄ້າທີ່ມີຍອດຄົງເຫຼືອ ຫຼືສະແດງທັງໝົດ	လက်ကျန်ရှိသော ကုန်ပစ္စည်းများကိုသာ ပြသရန် သို့မဟုတ် အားလုံးပြသရန် ရွေးချယ်ပါ	Chọn chỉ hiển thị sản phẩm còn số dư hoặc hiển thị tất cả	Pilih untuk menunjukkan hanya produk yang mempunyai baki atau tunjukkan semua	Pilih untuk menampilkan hanya produk yang memiliki saldo atau tampilkan semua	Piliin na ipakita lamang ang mga produktong may balanse o ipakita lahat
show_preview	แสดง Preview	Show Preview	显示预览	プレビューを表示	បង្ហាញការមើលជាមុន	미리보기 표시	ສະແດງ Preview	Preview ပြရန်	Hiện xem trước	Show Preview	Show Preview	Show Preview
show_product_bom	ดูสูตรการผลิต	Production Recipe View	生产配方 查看	製造レシピ 表示	រូបមន្តផលិតកម្ម មើល	생산 레시피 보기	ສູດການຜະລິດ ເບິ່ງ	ထုတ်လုပ်မှုချက်ပြုတ်နည်း ကြည့်	Công thức sản xuất Xem	Production Recipe View	Production Recipe View	Production Recipe View
show_product_sub_items	แสดงรายการย่อย (สินค้า)	Show Sub Items (Products)	显示子项目（产品）	サブ項目（商品）を表示	បង្ហាញធាតុរង (ផលិតផល)	하위 항목(상품) 표시	ສະແດງລາຍການຍ່ອຍ (ສິນຄ້າ)	ပစ္စည်းခွဲများ (ကုန်ပစ္စည်းများ) ပြသပါ	Hiển thị mục con (Sản phẩm)	Tunjukkan Sub Item (Produk)	Tampilkan Sub Item (Produk)	Ipakita ang mga Sub Item (Mga Produkto)
show_sum_by_date	แสดงยอดรวมตามวัน	Show Sum by Date	按日期显示总计	日付別合計を表示	បង្ហាញសរុបតាមកាលបរិច្ឆេទ	날짜별 합계 표시	ສະແດງຍອດລວມຕາມວັນທີ	ရက်စွဲအလိုက် စုစုပေါင်းပြပါ	Hiển thị tổng theo ngày	Show Sum by Date	Show Sum by Date	Show Sum by Date
show_time_for_sale	แสดงเวลาการขาย	Show Sale Time	显示销售时间	販売時間を表示	បង្ហាញពេលវេលាលក់	판매 시간 표시	ສະແດງເວລາຂາຍ	အရောင်းအချိန်ပြပါ	Hiển thị thời gian bán hàng	Show Sale Time	Show Sale Time	Show Sale Time
showing	แสดง	Showing	显示	表示中	កំពុងបង្ហាញ	표시 중	ສະແດງ	ပြသနေသည်	Đang hiển thị	Showing	Showing	Showing
showing_items	แสดง	Showing	显示	表示	កំពុងបង្ហាញ	표시	ສະແດງ	ပြသနေသည်	Hiển thị	Showing	Showing	Showing
signin	ลงชื่อเข้าใช้งาน	Sign in	登录	サインイン	ចូលគណនី	로그인	ເຂົ້າສູ່ລະບົບ	အကောင့်ဝင်ရန်	Đăng nhập	Log masuk	Masuk	Mag-sign in
signin_desciption	ใช้อีเมลหรือบริการอื่นของคุณเพื่อใช้งาน Dede account	Use your email or another service to use your Dede account.	Use your email or another service to use your Dede account.	Dedeアカウントを使用するには、メールまたは他のサービスを使用してください。	ប្រើអ៊ីមែលរបស់អ្នក ឬសេវាកម្មផ្សេងទៀតដើម្បីប្រើគណនី Dede របស់អ្នក។	Dede 계정을 사용하려면 이메일이나 다른 서비스를 사용하세요.	ໃຊ້ອີເມວ ຫຼື ບໍລິການອື່ນຂອງທ່ານເພື່ອໃຊ້ບັນຊີ Dede ຂອງທ່ານ.	သင့် Dede အကောင့်ကို အသုံးပြုရန် သင့်အီးမေးလ် သို့မဟုတ် အခြားဝန်ဆောင်မှုကို အသုံးပြုပါ။	Sử dụng email của bạn hoặc dịch vụ khác để sử dụng tài khoản Dede của bạn.	Use your email or another service to use your Dede account.	Use your email or another service to use your Dede account.	Use your email or another service to use your Dede account.
signup	ลงทะเบียนเข้าใช้งาน	Sign up	注册	サインアップ	ចុះឈ្មោះ	가입하기	ລົງທະບຽນ	အကောင့်ဖွင့်ရန်	Đăng ký	Daftar	Daftar	Mag-sign up
signUp	สมัครสมาชิก	Sign up	注册	新規登録	ចុះឈ្មោះ	회원가입	ສະໝັກສະມາຊິກ	အကောင့်ဖွင့်ရန်	Đăng ký	Daftar	Daftar	Mag-sign up
signUpDescription	สำหรับผู้ใช้ใหม่ที่ต้องการเข้าสู่ระบบด้วยชื่อผู้ใช้และรหัสผ่าน	For new users who want to sign in with username and password.	适用于想使用用户名和密码登录的新用户。	ユーザー名とパスワードでログインしたい新規ユーザー向けです。	សម្រាប់អ្នកប្រើថ្មីដែលចង់ចូលដោយឈ្មោះអ្នកប្រើ និងពាក្យសម្ងាត់។	사용자 이름과 비밀번호로 로그인하려는 신규 사용자용입니다.	ສຳລັບຜູ້ໃຊ້ໃໝ່ທີ່ຕ້ອງການເຂົ້າລະບົບດ້ວຍຊື່ຜູ້ໃຊ້ ແລະ ລະຫັດຜ່ານ.	အသုံးပြုသူအမည်နှင့် စကားဝှက်ဖြင့် ဝင်လိုသော အသုံးပြုသူအသစ်များအတွက်။	Dành cho người dùng mới muốn đăng nhập bằng tên người dùng và mật khẩu.	Untuk pengguna baharu yang mahu log masuk dengan nama pengguna dan kata laluan.	Untuk pengguna baru yang ingin masuk dengan nama pengguna dan kata sandi.	Para sa bagong user na gustong mag-login gamit ang username at password.
displayName	ชื่อที่แสดง	Display name	显示名称	表示名	ឈ្មោះបង្ហាញ	표시 이름	ຊື່ທີ່ສະແດງ	ပြသမည့်အမည်	Tên hiển thị	Nama paparan	Nama tampilan	Display name
confirmPassword	ยืนยันรหัสผ่าน	Confirm password	确认密码	パスワード確認	បញ្ជាក់ពាក្យសម្ងាត់	비밀번호 확인	ຢືນຢັນລະຫັດຜ່ານ	စကားဝှက်အတည်ပြုပါ	Xác nhận mật khẩu	Sahkan kata laluan	Konfirmasi kata sandi	Kumpirmahin ang password
change_password	เปลี่ยนรหัสผ่าน	Change password	更改密码	パスワードを変更	ប្ដូរពាក្យសម្ងាត់	비밀번호 변경	ປ່ຽນລະຫັດຜ່ານ	စကားဝှက်ပြောင်းရန်	Đổi mật khẩu	Tukar kata laluan	Ubah kata sandi	Palitan ang password
current_password	รหัสผ่านปัจจุบัน	Current password	当前密码	現在のパスワード	ពាក្យសម្ងាត់បច្ចុប្បន្ន	현재 비밀번호	ລະຫັດຜ່ານປັດຈຸບັນ	လက်ရှိစကားဝှက်	Mật khẩu hiện tại	Kata laluan semasa	Kata sandi saat ini	Kasalukuyang password
new_password	รหัสผ่านใหม่	New password	新密码	新しいパスワード	ពាក្យសម្ងាត់ថ្មី	새 비밀번호	ລະຫັດຜ່ານໃໝ່	စကားဝှက်အသစ်	Mật khẩu mới	Kata laluan baharu	Kata sandi baru	Bagong password
default_password_warning	รหัสผ่านยังเป็นค่าเริ่มต้น 12345 กรุณาเปลี่ยนรหัสผ่าน	Password is still the default 12345. Please change it.	密码仍为默认值 12345，请更改。	パスワードはまだ初期値 12345 です。変更してください。	ពាក្យសម្ងាត់នៅតែជាលំនាំដើម 12345 សូមប្ដូរ។	비밀번호가 아직 기본값 12345입니다. 변경하세요.	ລະຫັດຜ່ານຍັງເປັນຄ່າເລີ່ມຕົ້ນ 12345 ກະລຸນາປ່ຽນ.	စကားဝှက်သည် မူလတန်ဖိုး 12345 ဖြစ်နေပါသည်။ ပြောင်းပါ။	Mật khẩu vẫn là mặc định 12345. Vui lòng đổi.	Kata laluan masih lalai 12345. Sila tukar.	Kata sandi masih default 12345. Silakan ubah.	Default pa rin ang password na 12345. Pakipalitan.
reset_password	รีเซ็ตรหัสผ่าน	Reset password	重置密码	パスワードをリセット	កំណត់ពាក្យសម្ងាត់ឡើងវិញ	비밀번호 재설정	ຣີເຊັດລະຫັດຜ່ານ	စကားဝှက်ပြန်လည်သတ်မှတ်ရန်	Đặt lại mật khẩu	Tetapkan semula kata laluan	Reset kata sandi	I-reset ang password
reset_password_confirm	ยืนยันรีเซ็ตรหัสผ่านผู้ใช้นี้กลับเป็น 12345?	Reset this user's password to 12345?	确认将此用户的密码重置为 12345？	このユーザーのパスワードを 12345 にリセットしますか？	កំណត់ពាក្យសម្ងាត់អ្នកប្រើនេះទៅ 12345 វិញឬ?	이 사용자의 비밀번호를 12345로 재설정할까요?	ຢືນຢັນຣີເຊັດລະຫັດຜ່ານຜູ້ໃຊ້ນີ້ເປັນ 12345 ບໍ?	ဤအသုံးပြုသူ၏ စကားဝှက်ကို 12345 သို့ ပြန်သတ်မှတ်မလား?	Đặt lại mật khẩu người dùng này về 12345?	Tetapkan semula kata laluan pengguna ini kepada 12345?	Reset kata sandi pengguna ini ke 12345?	I-reset ang password ng user na ito sa 12345?
reset_password_done	รีเซ็ตรหัสผ่านเป็น 12345 แล้ว	Password was reset to 12345.	密码已重置为 12345。	パスワードを 12345 にリセットしました。	បានកំណត់ពាក្យសម្ងាត់ទៅ 12345 ហើយ។	비밀번호를 12345로 재설정했습니다.	ຣີເຊັດລະຫັດຜ່ານເປັນ 12345 ແລ້ວ.	စကားဝှက်ကို 12345 သို့ ပြန်သတ်မှတ်ပြီးပါပြီ။	Đã đặt lại mật khẩu thành 12345.	Kata laluan telah ditetapkan semula kepada 12345.	Kata sandi telah direset ke 12345.	Na-reset ang password sa 12345.
saved	บันทึกแล้ว	Saved.	已保存。	保存しました。	បានរក្សាទុក។	저장되었습니다.	ບັນທຶກແລ້ວ.	သိမ်းပြီးပါပြီ။	Đã lưu.	Telah disimpan.	Tersimpan.	Na-save.
can_add	เพิ่มได้	Can add	可新增	追加可能	អាចបន្ថែម	추가 가능	ເພີ່ມໄດ້	ထည့်နိုင်သည်	Có thể thêm	Boleh tambah	Dapat menambah	Maaaring magdagdag
can_edit	แก้ไขได้	Can edit	可编辑	編集可能	អាចកែប្រែ	수정 가능	ແກ້ໄຂໄດ້	ပြင်နိုင်သည်	Có thể sửa	Boleh edit	Dapat mengedit	Maaaring mag-edit
access	เข้าถึง	Access	访问	アクセス	ចូលប្រើ	접근	ເຂົ້າເຖິງ	ဝင်ရောက်ခွင့်	Truy cập	Akses	Akses	Access
approval_role	สิทธิ์อนุมัติ	Approval role	审批角色	承認役割	តួនាទីអនុម័ត	승인 역할	ບົດບາດອະນຸມັດ	ခွင့်ပြုချက်အခန်းကဏ္ဍ	Vai trò phê duyệt	Peranan kelulusan	Peran persetujuan	Approval role
approvalsetting	สิทธิ์การอนุมัติ	Approval Permission	审批权限	承認権限	សិទ្ធិអនុម័ត	승인 권한	ສິດອະນຸມັດ	အတည်ပြုခွင့်	Quyền phê duyệt	Kebenaran kelulusan	Hak persetujuan	Approval permission
own_data_only	เห็นข้อมูลตัวเองเท่านั้น	Own data only	仅自己的数据	自分のデータのみ	តែទិន្នន័យផ្ទាល់ខ្លួន	내 데이터만	ເຫັນແຕ່ຂໍ້ມູນຕົນເອງ	ကိုယ်ပိုင်ဒေတာသာ	Chỉ dữ liệu của mình	Data sendiri sahaja	Hanya data sendiri	Sariling data lang
passwordMismatch	รหัสผ่านและยืนยันรหัสผ่านไม่ตรงกัน	Password and confirmation do not match.	密码和确认密码不匹配。	パスワードと確認が一致しません。	ពាក្យសម្ងាត់ និងការបញ្ជាក់មិនដូចគ្នា។	비밀번호와 확인 값이 일치하지 않습니다.	ລະຫັດຜ່ານ ແລະ ການຢືນຢັນບໍ່ກົງກັນ.	စကားဝှက်နှင့် အတည်ပြုချက် မကိုက်ညီပါ။	Mật khẩu và xác nhận không khớp.	Kata laluan dan pengesahan tidak sepadan.	Kata sandi dan konfirmasi tidak sama.	Hindi tugma ang password at kumpirmasyon.
registerSuccess	สมัครสมาชิกสำเร็จ	Account created	帐号已创建	アカウントを作成しました	បានបង្កើតគណនី	계정이 생성되었습니다	ສ້າງບັນຊີແລ້ວ	အကောင့်ဖန်တီးပြီးပါပြီ	Đã tạo tài khoản	Akaun dicipta	Akun dibuat	Nagawa ang account
registerFailed	สมัครสมาชิกไม่สำเร็จ	Could not create account	无法创建帐号	アカウントを作成できません	មិនអាចបង្កើតគណនីបាន	계정을 만들 수 없습니다	ສ້າງບັນຊີບໍ່ສຳເລັດ	အကောင့်ဖန်တီးမရပါ	Không thể tạo tài khoản	Tidak dapat mencipta akaun	Tidak dapat membuat akun	Hindi magawa ang account
creatingAccount	กำลังสมัครสมาชิก	Creating account	正在创建帐号	アカウント作成中	កំពុងបង្កើតគណនី	계정 생성 중	ກຳລັງສ້າງບັນຊີ	အကောင့်ဖန်တီးနေသည်	Đang tạo tài khoản	Mencipta akaun	Membuat akun	Ginagawa ang account
createAccount	สร้างบัญชี	Create account	创建帐号	アカウント作成	បង្កើតគណនី	계정 만들기	ສ້າງບັນຊີ	အကောင့်ဖန်တီးရန်	Tạo tài khoản	Cipta akaun	Buat akun	Gumawa ng account
signup_with	สมัครใช้งานด้วยวิธีอื่น	Sign up with another	使用其他方式注册	別の方法でサインアップ	ចុះឈ្មោះដោយវិធីផ្សេងទៀត	다른 방법으로 가입하기	ລົງທະບຽນດ້ວຍວິທີອື່ນ	အခြားနည်းလမ်းဖြင့် အကောင့်ဖွင့်ပါ	Đăng ký bằng phương thức khác	Daftar dengan kaedah lain	Daftar dengan metode lain	Mag-sign up gamit ang ibang paraan
sincetime	ช่วงระหว่างวันที่	Since	自	以来	ចាប់តាំងពី	이후	ຕັ້ງແຕ່	ကတည်းက	Kể từ	Since	Since	Since
singin_with	ลงชื่อเข้าใช้ด้วย	Sign in with	使用以下方式登录	でサインイン	ចូលដោយប្រើ	다음으로 로그인	ເຂົ້າສູ່ລະບົບດ້ວຍ	ဖြင့် အကောင့်ဝင်ပါ	Đăng nhập bằng	Log masuk dengan	Masuk dengan	Mag-sign in gamit ang
singin_with_telephone	ลงชื่อเข้าใช้ด้วยหมายเลขโทรศัพท์มือถือ	Sign in with telephone	使用手机号码登录	電話番号でサインイン	ចូលដោយប្រើលេខទូរស័ព្ទដៃ	휴대폰 번호로 로그인	ເຂົ້າສູ່ລະບົບດ້ວຍເບີໂທລະສັບມືຖື	မိုဘိုင်းဖုန်းနံပါတ်ဖြင့် အကောင့်ဝင်ပါ	Đăng nhập bằng số điện thoại di động	Log masuk dengan nombor telefon bimbit	Masuk dengan nomor telepon seluler	Mag-sign in gamit ang numero ng mobile phone
single_currency	1 สกุลเงิน	Single Currency	单一货币	単一通貨	រូបិយប័ណ្ណតែមួយ	단일 통화	ສະກຸນເງິນດຽວ	ငွေကြေးတစ်မျိုး	Đơn tiền tệ	Mata wang tunggal	Mata uang tunggal	Iisang currency
slip_already_used	สลิปถูกใช้งานแล้ว	Slip Already Used	凭证已使用	スリップは使用済みです	ស្លីបត្រូវបានប្រើរួចហើយ	전표가 이미 사용됨	ສະລິບຖືກໃຊ້ແລ້ວ	စလစ်အသုံးပြုပြီးပါပြီ	Phiếu đã được sử dụng	Slip Already Used	Slip Already Used	Slip Already Used
slip_design	ออกแบบใบเสร็จรับเงิน	Receipt Design	收据设计	領収書デザイン	ការរចនាបង្កាន់ដៃ	영수증 디자인	ອອກແບບໃບຮັບເງິນ	ပြေစာဒီဇိုင်း	Thiết kế hóa đơn	Receipt Design	Receipt Design	Receipt Design
slip_duplicate	สลิปซ้ำ	Duplicate Slip	重复凭证	重複スリップ	ស្លីបស្ទួន	중복 전표	ສະລິບຊ້ຳ	ထပ်နေသောစလစ်	Phiếu trùng lặp	Duplicate Slip	Duplicate Slip	Duplicate Slip
slip_duplicate_short	สลิปซ้ำ	Dup. Slip	重复凭证	重複	ស្ទួន	중복	ຊ້ຳ	ထပ်နေ	Trùng phiếu	Dup. Slip	Dup. Slip	Dup. Slip
slip_duplicate_title	พบสลิปซ้ำ	Duplicate Slip Found	发现重复凭证	重複スリップが見つかりました	រកឃើញស្លីបស្ទួន	중복 전표 발견	ພົບສະລິບຊ້ຳ	ထပ်နေသောစလစ်တွေ့	Phát hiện phiếu trùng	Duplicate Slip Found	Duplicate Slip Found	Duplicate Slip Found
slip_invalid	สลิปไม่ถูกต้อง	Invalid Slip	无效凭证	無効なスリップ	ស្លីបមិនត្រឹមត្រូវ	유효하지 않은 전표	ສະລິບບໍ່ຖືກຕ້ອງ	စလစ်မမှန်ကန်ပါ	Phiếu không hợp lệ	Invalid Slip	Invalid Slip	Invalid Slip
slip_money_in	SLIP เงินเข้า	Money In Slip	进款单	入金伝票	សំបុត្រប្រាក់ចូល	입금 전표	ສະລິບເງິນເຂົ້າ	ငွေဝင်စလစ်	Phiếu tiền vào	Slip wang masuk	Slip uang masuk	Slip ng papasok na pera
slip_money_out	SLIP เงินออก	Money Out Slip	出款单	出金伝票	សំបុត្រប្រាក់ចេញ	출금 전표	ສະລິບເງິນອອກ	ငွေထွက်စလစ်	Phiếu tiền ra	Slip wang keluar	Slip uang keluar	Slip ng papalabas na pera
slip_qr_not_found	ไม่พบ QR สลิป	Slip QR Not Found	未找到凭证二维码	スリップQRが見つかりません	រកមិនឃើញ QR ស្លីប	전표 QR을 찾을 수 없음	ບໍ່ພົບ QR ສະລິບ	စလစ် QR ရှာမတွေ့ပါ	Không tìm thấy QR phiếu	Slip QR Not Found	Slip QR Not Found	Slip QR Not Found
slip_type	รูปแบบใบเสร็จ	Receipt Type	收据类型	領収書タイプ	ប្រភេទបង្កាន់ដៃ	영수증 유형	ປະເພດໃບຮັບເງິນ	ပြေစာအမျိုးအစား	Loại hóa đơn	Receipt Type	Receipt Type	Receipt Type
slip_valid	สลิปถูกต้อง	Valid Slip	有效凭证	有効なスリップ	ស្លីបត្រឹមត្រូវ	유효한 전표	ສະລິບຖືກຕ້ອງ	စလစ်မှန်ကန်သည်	Phiếu hợp lệ	Valid Slip	Valid Slip	Valid Slip
slip_verification_failed	ตรวจสอบสลิปไม่สำเร็จ	Slip Verification Failed	凭证验证失败	スリップ検証失敗	ការផ្ទៀងផ្ទាត់ស្លីបបរាជ័យ	전표 확인 실패	ກວດສອບສະລິບບໍ່ສຳເລັດ	စလစ်စစ်ဆေးမှု မအောင်မြင်ပါ	Xác minh phiếu thất bại	Slip Verification Failed	Slip Verification Failed	Slip Verification Failed
slip_verified	ตรวจสอบสลิปแล้ว	Slip Verified	凭证已验证	スリップ検証済み	ស្លីបបានផ្ទៀងផ្ទាត់	전표 확인됨	ກວດສອບສະລິບແລ້ວ	စလစ်စစ်ဆေးပြီးပါပြီ	Phiếu đã xác minh	Slip Verified	Slip Verified	Slip Verified
smaller	เล็กกว่า	Smaller than	小于	より小さい	តូចជាង	보다 작음	ນ້ອຍກວ່າ	ထက်ငယ်သော	Nhỏ hơn	Smaller than	Smaller than	Smaller than
smaller_than	เล็กกว่า	Smaller than	小于	より小さい	តូចជាង	보다 작음	ນ້ອຍກວ່າ	ထက်ငယ်သည်	Nhỏ hơn	Smaller than	Smaller than	Smaller than
so_number	เลขที่ใบสั่งขาย	SO Number	销售订单号	受注番号	លេខបញ្ជាលក់	판매 주문 번호	ເລກທີ່ໃບສັ່ງຂາຍ	အရောင်းမှာကြားလွှာနံပါတ်	Số đặt bán hàng	SO Number	SO Number	SO Number
sort_ascending	น้อยไปหามาก	Ascending	升序	昇順	តម្រៀបពីតូចទៅធំ	오름차순	ໜ້ອຍໄປຫາຫຼາຍ	ငယ်စဉ်ကြီးလိုက်	Tăng dần	Menaik	Naik	Pataas
sort_by_datetime	เรียงลำดับตามวันที่-เวลา	Sort by Date-Time	按日期时间排序	日時で並べ替え	តម្រៀបតាមកាលបរិច្ឆេទ-ពេលវេលា	날짜-시간순 정렬	ຈັດລຽງຕາມວັນທີ-ເວລາ	ရက်စွဲ-အချိန်ဖြင့် စီပါ	Sắp xếp theo ngày-giờ	Isih mengikut tarikh-masa	Urutkan menurut tanggal-waktu	Pagbukud-bukurin ayon sa petsa-oras
sort_descending	มากไปหาน้อย	Descending	降序	降順	តម្រៀបពីធំទៅតូច	내림차순	ຫຼາຍໄປຫາໜ້ອຍ	ကြီးစဉ်ငယ်လိုက်	Giảm dần	Menurun	Menurun	Pababa
source	แหล่งข้อมูล	Source	来源	ソース	ប្រភព	출처	ແຫຼ່ງຂໍ້ມູນ	ရင်းမြစ်	Nguồn	Source	Source	Source
source_production	ต้นทาง (Production)	Source (Production)	来源（生产环境）	ソース（本番環境）	ប្រភព (Production)	소스 (프로덕션)	ແຫຼ່ງທີ່ມາ (Production)	ရင်းမြစ် (Production)	Nguồn (Production)	Source (Production)	Source (Production)	Source (Production)
spare	ชื่อครัว	Kitchen name	Kitchen name	Kitchen name	Kitchen name	Kitchen name	Kitchen name	Kitchen name	Kitchen name	Kitchen name	Kitchen name	Kitchen name
special_promotion	โปรโมชั่นพิเศษ	Special Promotion	特别促销	特別プロモーション	ការផ្សព្វផ្សាយពិសេស	특별 프로모션	ໂປຣໂມຊັ່ນພິເສດ	အထူးပရိုမိုးရှင်း	Khuyến mãi đặc biệt	Special Promotion	Special Promotion	Special Promotion
special_rules	กฎพิเศษ	Special Rules	特殊规则	特別ルール	ច្បាប់ពិសេស	특별 규칙	ກົດພິເສດ	အထူးစည်းမျဉ်းများ	Quy tắc đặc biệt	Special Rules	Special Rules	Special Rules
special_rules_for_promotion	กฎพิเศษสำหรับโปรโมชั่น	Special rules for promotion	促销特殊规则	プロモーション用特別ルール	ច្បាប់ពិសេorg សម្រាប់ការផ្សព្វផ្សាយ	프로모션 특별 규칙	ກົດພິເສດສຳລັບໂປຣໂມຊັ່ນ	ပရိုမိုးရှင်းအတွက်အထူးစည်းမျဉ်းများ	Quy tắc đặc biệt cho khuyến mãi	Special rules for promotion	Special rules for promotion	Special rules for promotion
specify_details	ระบุรายละเอียด	Specify Details	指定详情	詳細を指定	បញ្ជាក់ព័ត៌មានលម្អិត	세부 정보 지정	ລະບຸລາຍລະອຽດ	အသေးစိတ် ဖော်ပြပါ	Nhập chi tiết	Specify Details	Specify Details	Specify Details
specify_itemcode	ระบุรหัสสินค้า	Specify Item Code	指定物料代码	商品コードを指定	បញ្ជាក់លេខកូដផលិតផល	상품 코드 지정	ລະບຸລະຫັດສິນຄ້າ	ပစ္စည်းကုဒ်ကို သတ်မှတ်ပါ	Chỉ định mã sản phẩm	Specify Item Code	Specify Item Code	Specify Item Code
speech_to_text_off	ปิดเสียงพูดแล้ว	Speech to text off	语音转文字已关闭	音声テキスト変換オフ	បិទការនិយាយទៅអត្ថបទ	음성 텍스트 변환 끄기	ປິດການເວົ້າເປັນຂໍ້ຄວາມ	စကားပြောမှ စာသားပိတ်	Tắt chuyển giọng nói thành văn bản	Speech to text off	Speech to text off	Speech to text off
speech_to_text_on	เปิดเสียงพูดแล้ว	Speech to text on	语音转文字已开启	音声テキスト変換オン	បើកការនិយាយទៅអត្ថបទ	음성 텍스트 변환 켜기	ເປີດການເວົ້າເປັນຂໍ້ຄວາມ	စကားပြောမှ စာသားဖွင့်	Bật chuyển giọng nói thành văn bản	Speech to text on	Speech to text on	Speech to text on
split_table	แยกโต๊ะ	Split Table	分桌	テーブル分割	បំបែកតុ	테이블 분할	ແຍກໂຕະ	စားပွဲခွဲ	Tách bàn	Split Table	Split Table	Split Table
staff	พนักงาน	Staff	员工	従業員	បុគ្គលិក	직원	ພະນັກງານ	ဝန်ထမ်း	Nhân viên	Kakitangan	Staf	Kawani
staff_code	รหัสพนักงาน	Staff Code	员工代码	スタッフコード	កូដបុគ្គលិក	직원 코드	ລະຫັດພະນັກງານ	ဝန်ထမ်းကုဒ်	Mã nhân viên	Staff Code	Staff Code	Staff Code
